cluster_id,street_name,total_volume,num_points,center_lat,center_lon,vehicles_hour,vehicles_week,tomtom_response,free_flow_speed,weight,supercluster_id,cost,total_weight
0,Avenida Baja California,0.0151133270380515,1,19.40657161836424,-99.15540454812708,5400,453600,"{""frc"": ""FRC3"", ""currentSpeed"": 34, ""freeFlowSpeed"": 34, ""currentTravelTime"": 17, ""freeFlowTravelTime"": 17, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.406569515994896, ""longitude"": -99.15525115075411}, {""latitude"": 19.4065735478925, ""longitude"": -99.1553879434139}, {""latitude"": 19.406574891858376, ""longitude"": -99.15549925508805}, {""latitude"": 19.4065735478925, ""longitude"": -99.15569237413716}, {""latitude"": 19.40656145219936, ""longitude"": -99.15622211041772}, {""latitude"": 19.40654398064097, ""longitude"": -99.15663785281512}, {""latitude"": 19.406531964002447, ""longitude"": -99.15679073872901}]}, ""@version"": ""4""}",34,233083.77491164548,0,5093.514773941766,3622087.6609530975
1,Avenida Baja California,0.0364380067351148,1,19.40647067192621,-99.15770668577991,3436,288624,"{""frc"": ""FRC3"", ""currentSpeed"": 21, ""freeFlowSpeed"": 33, ""currentTravelTime"": 79, ""freeFlowTravelTime"": 50, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.406531964002447, ""longitude"": -99.15679073872901}, {""latitude"": 19.406460891891932, ""longitude"": -99.15792263093356}, {""latitude"": 19.406443420322752, ""longitude"": -99.15831155124081}, {""latitude"": 19.406389819750373, ""longitude"": -99.15931737962164}, {""latitude"": 19.40636428436823, ""longitude"": -99.1597089821379}, {""latitude"": 19.40633076423203, ""longitude"": -99.1604358607811}, {""latitude"": 19.40631202773777, ""longitude"": -99.16078454795311}, {""latitude"": 19.406293212184472, ""longitude"": -99.16101790013747}, {""latitude"": 19.40627716362254, ""longitude"": -99.1611788326784}]}, ""@version"": ""4""}",33,347057.1474452205,1,5676.28418825364,5512183.79176692
2,Avenida Baja California,0.0870708368915666,2,19.4063961622364,-99.15896091724012,3436,288624,"{""frc"": ""FRC3"", ""currentSpeed"": 21, ""freeFlowSpeed"": 33, ""currentTravelTime"": 79, ""freeFlowTravelTime"": 50, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.406531964002447, ""longitude"": -99.15679073872901}, {""latitude"": 19.406460891891932, ""longitude"": -99.15792263093356}, {""latitude"": 19.406443420322752, ""longitude"": -99.15831155124081}, {""latitude"": 19.406389819750373, ""longitude"": -99.15931737962164}, {""latitude"": 19.40636428436823, ""longitude"": -99.1597089821379}, {""latitude"": 19.40633076423203, ""longitude"": -99.1604358607811}, {""latitude"": 19.40631202773777, ""longitude"": -99.16078454795311}, {""latitude"": 19.406293212184472, ""longitude"": -99.16101790013747}, {""latitude"": 19.40627716362254, ""longitude"": -99.1611788326784}]}, ""@version"": ""4""}",33,829314.19649072,2,5621.38770404449,4463649.633531896
3,Avenida Baja California,0.0266733867737691,1,19.40634146231277,-99.1598960971067,3436,288624,"{""frc"": ""FRC3"", ""currentSpeed"": 21, ""freeFlowSpeed"": 33, ""currentTravelTime"": 79, ""freeFlowTravelTime"": 50, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.406531964002447, ""longitude"": -99.15679073872901}, {""latitude"": 19.406460891891932, ""longitude"": -99.15792263093356}, {""latitude"": 19.406443420322752, ""longitude"": -99.15831155124081}, {""latitude"": 19.406389819750373, ""longitude"": -99.15931737962164}, {""latitude"": 19.40636428436823, ""longitude"": -99.1597089821379}, {""latitude"": 19.40633076423203, ""longitude"": -99.1604358607811}, {""latitude"": 19.40631202773777, ""longitude"": -99.16078454795311}, {""latitude"": 19.406293212184472, ""longitude"": -99.16101790013747}, {""latitude"": 19.40627716362254, ""longitude"": -99.1611788326784}]}, ""@version"": ""4""}",33,254053.126278347,3,5687.283764617116,5301176.224696945
4,Avenida Baja California,0.1963134445412867,5,19.4062077815232,-99.1622957436251,3420,287280,"{""frc"": ""FRC3"", ""currentSpeed"": 19, ""freeFlowSpeed"": 30, ""currentTravelTime"": 39, ""freeFlowTravelTime"": 25, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.40627716362254, ""longitude"": -99.1611788326784}, {""latitude"": 19.40623154775067, ""longitude"": -99.16181451621507}, {""latitude"": 19.406226171875865, ""longitude"": -99.16196874323346}, {""latitude"": 19.406218108063285, ""longitude"": -99.1620760315941}, {""latitude"": 19.406211388219173, ""longitude"": -99.16221148314938}, {""latitude"": 19.406189963773176, ""longitude"": -99.16264331880087}, {""latitude"": 19.406156443601038, ""longitude"": -99.16317976060398}]}, ""@version"": ""4""}",30,1691907.7904346257,4,5646.68697962402,4825381.760355003
5,Avenida Baja California,0.0485638136317293,1,19.406164260193577,-99.16307113669929,3420,287280,"{""frc"": ""FRC3"", ""currentSpeed"": 19, ""freeFlowSpeed"": 30, ""currentTravelTime"": 39, ""freeFlowTravelTime"": 25, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.40627716362254, ""longitude"": -99.1611788326784}, {""latitude"": 19.40623154775067, ""longitude"": -99.16181451621507}, {""latitude"": 19.406226171875865, ""longitude"": -99.16196874323346}, {""latitude"": 19.406218108063285, ""longitude"": -99.1620760315941}, {""latitude"": 19.406211388219173, ""longitude"": -99.16221148314938}, {""latitude"": 19.406189963773176, ""longitude"": -99.16264331880087}, {""latitude"": 19.406156443601038, ""longitude"": -99.16317976060398}]}, ""@version"": ""4""}",30,418542.3714036958,5,5233.413453287722,3810168.121239479
6,Avenida Baja California,0.0326151118103119,1,19.406067755397046,-99.16478920814323,5400,453600,"{""frc"": ""FRC3"", ""currentSpeed"": 34, ""freeFlowSpeed"": 34, ""currentTravelTime"": 35, ""freeFlowTravelTime"": 35, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.406156443601038, ""longitude"": -99.16317976060398}, {""latitude"": 19.406102763877044, ""longitude"": -99.1640313619664}, {""latitude"": 19.406054539073086, ""longitude"": -99.16483468356655}, {""latitude"": 19.40601967490261, ""longitude"": -99.16569567266053}, {""latitude"": 19.40601161107981, ""longitude"": -99.16597730460717}, {""latitude"": 19.405996827403612, ""longitude"": -99.16636622491441}]}, ""@version"": ""4""}",34,503003.3003833543,5,5233.413453287722,3810168.121239479
7,Avenida Baja California,0.1707163438355659,5,19.405962568971,-99.16732692333224,5400,453600,"{""frc"": ""FRC3"", ""currentSpeed"": 25, ""freeFlowSpeed"": 25, ""currentTravelTime"": 20, ""freeFlowTravelTime"": 20, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.405996827403612, ""longitude"": -99.16636622491441}, {""latitude"": 19.405968683075212, ""longitude"": -99.16704482379534}, {""latitude"": 19.405956587337034, ""longitude"": -99.16731304469688}, {""latitude"": 19.405944570655127, ""longitude"": -99.1677113527357}]}, ""@version"": ""4""}",25,1935923.339095317,6,5691.951499478077,5615020.605967516
8,Avenida Baja California,0.0391627685318098,1,19.40592800984209,-99.16811628889276,2700,226800,"{""frc"": ""FRC3"", ""currentSpeed"": 10, ""freeFlowSpeed"": 20, ""currentTravelTime"": 34, ""freeFlowTravelTime"": 17, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.405944570655127, ""longitude"": -99.1677113527357}, {""latitude"": 19.405936506828592, ""longitude"": -99.16803187671304}, {""latitude"": 19.405925755059275, ""longitude"": -99.16842213812481}, {""latitude"": 19.405921723145585, ""longitude"": -99.16861928048743}]}, ""@version"": ""4""}",20,177642.31806028925,6,5691.951499478077,5615020.605967516
9,Avenida Chapultepec,0.1051071514061213,3,19.425588306980966,-99.15450370266728,3800,319200,"{""frc"": ""FRC3"", ""currentSpeed"": 19, ""freeFlowSpeed"": 27, ""currentTravelTime"": 513, ""freeFlowTravelTime"": 361, ""confidence"": 1, ""roadClosure"": false, ""coordinates"": {""coordinate"": [{""latitude"": 19.418827208741185, ""longitude"": -99.17774147334922}, {""latitude"": 19.419031001722818, ""longitude"": -99.17771062794554}, {""latitude"": 19.419244280527725, ""longitude"": -99.17765430155622}, {""latitude"": 19.41930728388689, ""longitude"": -99.17763418498859}, {""latitude"": 19.419343489068435, ""longitude"": -99.1776180917345}, {""latitude"": 19.41940388372014, ""longitude"": -99.17759126964434}, {""latitude"": 19.419458823861554, ""longitude"": -99.1775657886587}, {""latitude"": 19.4196948686319, ""longitude"": -99.17742229047637}, {""latitude"": 19.4198973957202, ""longitude"": -99.17729890886166}, {""latitude"": 19.42002079324865, ""longitude"": -99.17722380700923}, {""latitude"": 19.42020853754684, ""longitude"": -99.17710310760353}, {""latitude"": 19.420286322910407, ""longitude"": -99.17705080452772}, {""latitude"": 19.420334622543223, ""longitude"": -99.17701861801953}, {""latitude"": 19.42038418696333, ""longitude"": -99.17698106709332}, {""latitude"": 19.420403000885965, ""longitude"": -99.17696229163022}, {""latitude"": 19.420455252987445, ""longitude"": -99.17691267076343}, {""latitude"": 19.4204995210179, ""longitude"": -99.17684695664254}, {""latitude"": 19.42051430337535, ""longitude"": -99.17682549897042}, {""latitude"": 19.42055050828803, ""longitude"": -99.17673564496839}, {""latitude"": 19.420561259090217, ""longitude"": -99.17669407072866}, {""latitude"": 19.420569243141433, ""longitude"": -99.17665517869794}, {""latitude"": 19.420590744742636, ""longitude"": -99.17656532469591}, {""latitude"": 19.420594776292543, ""longitude"": -99.17654118481478}, {""latitude"": 19.420605527091826, ""longitude"": -99.1764781529029}, {""latitude"": 19.420613511140807, ""longitude"": -99.17644328418571}, {""latitude"": 19.420624261938855, ""longitude"": -99.17638561669187}, {""latitude"": 19.420663154525798, ""longitude"": -99.17622066083742}, {""latitude"": 19.420691296310597, ""longitude"": -99.17606509271452}, {""latitude"": 19.420706078650607, ""longitude"": -99.17598596754856}, {""latitude"": 19.420724813486046, ""longitude"": -99.17590147796457}, {""latitude"": 19.420785207624434, ""longitude"": -99.17553535643395}, {""latitude"": 19.420807973995355, ""longitude"": -99.17542538586432}, {""latitude"": 19.420816037084297, ""longitude"": -99.17538515272909}, {""latitude"": 19.420853585777568, ""longitude"": -99.17524836006929}, {""latitude"": 19.420888446767098, ""longitude"": -99.17509681525992}, {""latitude"": 19.421031922189584, ""longitude"": -99.1745255047396}, {""latitude"": 19.421078877754862, ""longitude"": -99.17429215255527}, {""latitude"": 19.4211285209977, ""longitude"": -99.17407623472951}, {""latitude"": 19.421238479145586, ""longitude"": -99.1736430579735}, {""latitude"": 19.421385985789293, ""longitude"": -99.17296580019709}, {""latitude"": 19.42141017496892, ""longitude"": -99.17285717073196}, {""latitude"": 19.42143159740927, ""longitude"": -99.17276463452093}, {""latitude"": 19.421795067018675, ""longitude"": -99.17114860358907}, {""latitude"": 19.42197609007456, ""longitude"": -99.17033321204836}, {""latitude"": 19.421997591489646, ""longitude"": -99.17022055926971}, {""latitude"": 19.422052530754247, ""longitude"": -99.16999927702592}, {""latitude"": 19.422142409770043, ""longitude"": -99.16961706224122}, {""latitude"": 19.42230201011622, ""longitude"": -99.1689062768521}, {""latitude"": 19.42233821463057, ""longitude"": -99.16875473204273}, {""latitude"": 19.42239449761507, ""longitude"": -99.16854283753051}, {""latitude"": 19.42244145278665, ""longitude"": -99.16834703627237}, {""latitude"": 19.422512517911077, ""longitude"": -99.16801176014543}, {""latitude"": 19.422534019255185, ""longitude"": -99.16790715399382}, {""latitude"": 19.422673461726525, ""longitude"": -99.16719770970921}, {""latitude"": 19.422690931551543, ""longitude"": -99.16710383239368}, {""latitude"": 19.422724448314582, ""longitude"": -99.16692412438964}, {""latitude"": 19.42282903005673, ""longitude"": -99.1664145046767}, {""latitude"": 19.422845156033663, ""longitude"": -99.16633537951073}, {""latitude"": 19.422944362376143, ""longitude"": -99.16584453526089}, {""latitude"": 19.422995348879176, ""longitude"": -99.16559911313597}, {""latitude"": 19.42320719960423, ""longitude"": -99.16457182708302}, {""latitude"": 19.42326087368064, ""longitude"": -99.16433713379418}, {""latitude"": 19.42333731375591, ""longitude"": -99.16404477301148}, {""latitude"": 19.42344189510361, ""longitude"": -99.16359416189687}, {""latitude"": 19.423639042223062, ""longitude"": -99.16298798265936}, {""latitude"": 19.42367524643952, ""longitude"": -99.1628739887762}, {""latitude"": 19.42375168631987, ""longitude"": -99.16263124886031}, {""latitude"": 19.423771843676352, ""longitude"": -99.16255212369434}, {""latitude"": 19.42382551756622, ""longitude"": -99.16234291139114}, {""latitude"": 19.42405214924452, ""longitude"": -99.16121370139561}, {""latitude"": 19.424081634263498, ""longitude"": -99.1610755676313}, {""latitude"": 19.42411380691884, ""longitude"": -99.16091999950841}, {""latitude"": 19.42428818734287, ""longitude"": -99.16016361656602}, {""latitude"": 19.424341782014025, ""longitude"": -99.15994903984478}, {""latitude"": 19.424388736622912, ""longitude"": -99.15978006067681}, {""latitude"": 19.424524225098327, ""longitude"": -99.1592422777692}, {""latitude"": 19.42456975678934, ""longitude"": -99.15904245319754}, {""latitude"": 19.42461267988218, ""longitude"": -99.15885201635744}, {""latitude"": 19.424725402351992, ""longitude"": -99.15838128867522}, {""latitude"": 19.42479512266232, ""longitude"": -99.15807954016097}, {""latitude"": 19.424966735679682, ""longitude"": -99.15733656826367}, {""latitude"": 19.42505930070962, ""longitude"": -99.15695569458347}, {""latitude"": 19.425145146625315, ""longitude"": -99.15659896078441}, {""latitude"": 19.425194788625866, ""longitude"": -99.15639913621276}, {""latitude"": 19.42523099249567, ""longitude"": -99.1562019938501}, {""latitude"": 19.425280555422287, ""longitude"": -99.15598741712887}, {""latitude"": 19.425405292673013, ""longitude"": -99.15539599004094}, {""latitude"": 19.425442840305795, ""longitude"": -99.15521762314141}, {""latitude"": 19.42546434126216, ""longitude"": -99.15510094704923}, {""latitude"": 19.42552062316372, ""longitude"": -99.15485150161079}, {""latitude"": 19.425668125920193, ""longitude"": -99.15418497267044}, {""latitude"": 19.425678876383785, ""longitude"": -99.15413266959463}, {""latitude"": 19.425696345885658, ""longitude"": -99.15405354442868}, {""latitude"": 19.425719111568483, ""longitude"": -99.15394089165002}, {""latitude"": 19.425732549643712, ""longitude"": -99.15385103764801}, {""latitude"": 19.42574061248828, ""longitude"": -99.15377057137754}, {""latitude"": 19.42574725247761, ""longitude"": -99.15371826830173}]}, ""@version"": ""4""}",27,905855.4736785158,7,4982.423322033481,4014230.9221933954
